id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
gg0KUHbpC8rCxW1Iym2LYA,blue-mountain-brewery-afton,Blue Mountain Brewery,https://s3-media1.fl.yelpcdn.com/bphoto/E-DbVXCZvwU_3wwziZNfWQ/o.jpg,False,https://www.yelp.com/biz/blue-mountain-brewery-afton?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,746,"[{'alias': 'brewpubs', 'title': 'Brewpubs'}]",4.0,"{'latitude': 38.016237360670075, 'longitude': -78.82185972550192}",[],$$,"{'address1': '9519 Critzers Shop Rd', 'address2': '', 'address3': '', 'city': 'Afton', 'zip_code': '22920', 'country': 'US', 'state': 'VA', 'display_address': ['9519 Critzers Shop Rd', 'Afton, VA 22920']}",+15404568020,(540) 456-8020,52442.7063589
TmafPHIsnYiTa6i2HXzDyg,jack-browns-beer-and-burger-joint-harrisonburg-harrisonburg,Jack Brown's Beer & Burger Joint - Harrisonburg,https://s3-media2.fl.yelpcdn.com/bphoto/soMsowwkhO4XoVH2oDd_3g/o.jpg,False,https://www.yelp.com/biz/jack-browns-beer-and-burger-joint-harrisonburg-harrisonburg?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,663,"[{'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'beerbar', 'title': 'Beer Bar'}]",4.5,"{'latitude': 38.448497287581, 'longitude': -78.868675716502}","['delivery', 'pickup']",$$,"{'address1': '80 S Main St', 'address2': '', 'address3': '', 'city': 'Harrisonburg', 'zip_code': '22801', 'country': 'US', 'state': 'VA', 'display_address': ['80 S Main St', 'Harrisonburg, VA 22801']}",+15404335225,(540) 433-5225,69182.83323868323
IRbefUFKJrJfFENkck2qFw,devils-backbone-brewing-company-roseland-2,Devils Backbone Brewing Company,https://s3-media2.fl.yelpcdn.com/bphoto/RrFBqQ9TnhcXGATQg4ZkDQ/o.jpg,False,https://www.yelp.com/biz/devils-backbone-brewing-company-roseland-2?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,577,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'brewpubs', 'title': 'Brewpubs'}]",3.5,"{'latitude': 37.870856, 'longitude': -78.918875}",[],$$,"{'address1': '200 Mosbys Run', 'address2': '', 'address3': '', 'city': 'Roseland', 'zip_code': '22967', 'country': 'US', 'state': 'VA', 'display_address': ['200 Mosbys Run', 'Roseland, VA 22967']}",+14343611001,(434) 361-1001,46315.9960931631
dEukVK634pxUEiZig5PCRQ,thunderbird-cafe-mcgaheysville,Thunderbird Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/e1RTrRkOkqkqCMy5tRq5IA/o.jpg,False,https://www.yelp.com/biz/thunderbird-cafe-mcgaheysville?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,561,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'comfortfood', 'title': 'Comfort Food'}]",4.5,"{'latitude': 38.37514, 'longitude': -78.7285799}",['delivery'],$$,"{'address1': '42 Island Ford Rd', 'address2': '', 'address3': '', 'city': 'McGaheysville', 'zip_code': '22840', 'country': 'US', 'state': 'VA', 'display_address': ['42 Island Ford Rd', 'McGaheysville, VA 22840']}",+15402895094,(540) 289-5094,73326.65839102202
Q_szQSnt_QyZJpbdwrXJZA,the-mill-street-grill-staunton,The Mill Street Grill,https://s3-media2.fl.yelpcdn.com/bphoto/xED5sFEQQspXZgLhIP9GCA/o.jpg,False,https://www.yelp.com/biz/the-mill-street-grill-staunton?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,555,"[{'alias': 'tradamerican', 'title': 'American (Traditional)'}, {'alias': 'bars', 'title': 'Bars'}]",4.5,"{'latitude': 38.1480029950747, 'longitude': -79.0711597130259}",[],$$,"{'address1': '1 Mill St', 'address2': '', 'address3': '', 'city': 'Staunton', 'zip_code': '24401', 'country': 'US', 'state': 'VA', 'display_address': ['1 Mill St', 'Staunton, VA 24401']}",,,34581.26589429721
XJiLoYm5mzJ09Tp_Ib7gbQ,ra-bistro-lynchburg,RA Bistro,https://s3-media3.fl.yelpcdn.com/bphoto/7lmTNHS1WLNyNKdkCdVqOg/o.jpg,False,https://www.yelp.com/biz/ra-bistro-lynchburg?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,491,"[{'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 37.4106499, 'longitude': -79.13811}","['pickup', 'delivery']",$$,"{'address1': '1344 Main St', 'address2': '', 'address3': '', 'city': 'Lynchburg', 'zip_code': '24504', 'country': 'US', 'state': 'VA', 'display_address': ['1344 Main St', 'Lynchburg, VA 24504']}",+14348451601,(434) 845-1601,70278.52222004336
JWWQhme8rPkpibA0c6-nEg,southern-inn-lexington-4,Southern Inn Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/bhA-eWAJ9OCslREkvaaYmQ/o.jpg,False,https://www.yelp.com/biz/southern-inn-lexington-4?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,438,"[{'alias': 'bars', 'title': 'Bars'}, {'alias': 'newamerican', 'title': 'American (New)'}, {'alias': 'bakeries', 'title': 'Bakeries'}]",4.0,"{'latitude': 37.78449, 'longitude': -79.44286}",[],$$,"{'address1': '37 S Main St', 'address2': '', 'address3': '', 'city': 'Lexington', 'zip_code': '24450', 'country': 'US', 'state': 'VA', 'display_address': ['37 S Main St', 'Lexington, VA 24450']}",+15404633612,(540) 463-3612,24260.728707251037
GM7n-Q5GAEfrovzqsM041A,xenia-kebab-grille-harrisonburg,Xenia Kebab Grille,https://s3-media1.fl.yelpcdn.com/bphoto/mLHM8lyNwuipo40Rmu9mZg/o.jpg,False,https://www.yelp.com/biz/xenia-kebab-grille-harrisonburg?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,429,"[{'alias': 'mediterranean', 'title': 'Mediterranean'}, {'alias': 'mideastern', 'title': 'Middle Eastern'}, {'alias': 'greek', 'title': 'Greek'}]",4.5,"{'latitude': 38.4325993, 'longitude': -78.8502163}","['pickup', 'delivery']",$,"{'address1': '219 Burgess Rd', 'address2': '', 'address3': '', 'city': 'Harrisonburg', 'zip_code': '22801', 'country': 'US', 'state': 'VA', 'display_address': ['219 Burgess Rd', 'Harrisonburg, VA 22801']}",+15404374832,(540) 437-4832,68801.7592194229
TFvOQidLmulUonnUmS7vPQ,bella-luna-wood-fired-pizza-harrisonburg,Bella Luna Wood-Fired Pizza,https://s3-media4.fl.yelpcdn.com/bphoto/n8ZPTVnSCmeQHppjcqbL5A/o.jpg,False,https://www.yelp.com/biz/bella-luna-wood-fired-pizza-harrisonburg?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,429,"[{'alias': 'pizza', 'title': 'Pizza'}, {'alias': 'salad', 'title': 'Salad'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 38.4487136, 'longitude': -78.8702912}","['pickup', 'delivery']",$$,"{'address1': '80 W Water St', 'address2': '', 'address3': '', 'city': 'Harrisonburg', 'zip_code': '22801', 'country': 'US', 'state': 'VA', 'display_address': ['80 W Water St', 'Harrisonburg, VA 22801']}",+15404331366,(540) 433-1366,69101.8848984585
ktRKWYv1Rxs6lFxSPGVO_g,hanks-grille-and-catering-mcgaheysville,Hank's Grille & Catering,https://s3-media2.fl.yelpcdn.com/bphoto/j6ctLFixTjl_GzVQ6ACndA/o.jpg,False,https://www.yelp.com/biz/hanks-grille-and-catering-mcgaheysville?adjust_creative=u3n3MxneEKgTNb32qpsQBA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=u3n3MxneEKgTNb32qpsQBA,426,"[{'alias': 'bbq', 'title': 'Barbeque'}, {'alias': 'southern', 'title': 'Southern'}, {'alias': 'tradamerican', 'title': 'American (Traditional)'}]",3.5,"{'latitude': 38.37988262902908, 'longitude': -78.72397218374046}",[],$$,"{'address1': '49 Bloomer Springs Rd', 'address2': '', 'address3': '', 'city': 'McGaheysville', 'zip_code': '22840', 'country': 'US', 'state': 'VA', 'display_address': ['49 Bloomer Springs Rd', 'McGaheysville, VA 22840']}",+15402897667,(540) 289-7667,73945.34424198196
