Name,Reviews,Rating,Address,Cuisine,State
The Battery,87,4.5,2821 Central Ave,"Salad, Burgers, Sandwiches",Alabama
Blueprint on 3rd,222,4.5,3000 3rd Ave S,American (Traditional),Alabama
The Essential,334,4.5,2018 Morris Ave,"Bars, American (New)",Alabama
The Southern Kitchen & Bar,507,3.5,2301 Richard Arrington Jr Blvd,"Southern, American (New), Bars",Alabama
The Refinery,81,4.5,728 29th St S,"American (Traditional), Sports Bars",Alabama
Southern Caribbean,28,4.5,1116 Lomb Ave,Caribbean,Alabama
Whiskey Foxtrot Burger Shoppe,4,5.0,1919 28th Ave S,"Burgers, Hot Dogs",Alabama
Yo Chef Surf & Turf Smokehouse,26,4.5,2201 4th Pl W,"Seafood, Salad, Smokehouse",Alabama
The Garage,160,4.5,2304 10th Ter S,"Sandwiches, Dive Bars",Alabama
Carrigan's - Downtown,588,4.0,2430 Morris Ave,"Cocktail Bars, Gastropubs, Pubs",Alabama
Yo' Mama's,503,4.5,2328 2nd Ave N,"Gluten-Free, American (Traditional), Breakfast & Brunch",Alabama
Ruth's Cafe,32,4.0,4012 24th St N,"Soul Food, Cafes, Breakfast & Brunch",Alabama
Tasty Town,175,4.5,16 14th St S,"Greek, Mediterranean",Alabama
Umami Bham,147,4.5,2808 7th Ave S,"Sushi Bars, Thai, Cocktail Bars",Alabama
Helen,179,4.5,2013 2nd Ave N,"Southern, Bars",Alabama
Roots & Revelry,314,3.5,1623 2nd Ave N,"Bars, American (Traditional), Venues & Event Spaces",Alabama
Jack Brown's Beer & Burger Joint - Birmingham,695,4.5,2811 7th Ave S,"Burgers, Beer Bar, American (Traditional)",Alabama
El Barrio,834,4.5,2211 2nd Ave N,Mexican,Alabama
Niki's West Steak And Seafood Restaurant,324,4.0,233 Finley Ave W,"Southern, Seafood, Steakhouses",Alabama
Cayo Coco Rum Bar & Restaurante,196,4.5,2015 1st Ave N,"Bars, Cuban, Latin American",Alabama
Paramount,415,4.5,200 20th St N,"Arcades, Sports Bars, American (Traditional)",Alabama
The View,8,4.5,1 Robert S Smith Dr,"Bars, American (New), Social Clubs",Alabama
Saw's Soul Kitchen,998,4.5,215 41st St S,"Barbeque, Seafood, Burgers",Alabama
Automatic Seafood and Oysters,426,4.5,2824 5th Ave S,Seafood,Alabama
The Rougaroux,296,4.5,817 39th St S,Cajun/Creole,Alabama
Juniper,51,4.5,3811 Clairmont Ave,"American (New), Cocktail Bars",Alabama
The Lab Bar and Kitchen,193,4.0,808 20th St S,Restaurants,Alabama
Lé Fresca,141,4.5,2218 2nd Ave N,"Wine Bars, Italian, Pizza",Alabama
The Goose,30,4.0,4100 4th Ave S,"Salad, American (Traditional), Sandwiches",Alabama
Hattie B's Hot Chicken - Birmingham,720,4.5,2808 7th Ave S,"Sandwiches, Chicken Wings, Chicken Shop",Alabama
EastWest,314,4.5,2306 2nd Ave N,"American (New), Venues & Event Spaces, Pan Asian",Alabama
Condado Tacos,25,4.0,2800 Cahaba Village Pl,"Tacos, Cocktail Bars",Alabama
Porch,74,4.5,2 Dexter Ave,"American (Traditional), Breakfast & Brunch",Alabama
The Fennec,71,3.5,1630 2nd Ave S,"Bars, Venues & Event Spaces, American (Traditional)",Alabama
Ironwood Kitchen + Cocktails,77,4.0,2727 18th St S,American (Traditional),Alabama
Five Bar,393,4.0,744 29th St S,"Bars, American (Traditional)",Alabama
Frothy Monkey,97,4.0,2320 Second Ave N,"Cafes, Coffee & Tea, Breakfast & Brunch",Alabama
Eagles Restaurant,64,4.5,2610 16th St N,Soul Food,Alabama
OvenBird,332,4.0,2810 3rd Ave S,"Tapas/Small Plates, Spanish, Portuguese",Alabama
SoHo Social,288,4.0,1830 29th Ave S,"Bars, American (New), Seafood",Alabama
Harvest Restaurant & Bar,100,4.0,2101 5th Ave N,"American (New), Breakfast & Brunch, Southern",Alabama
Bamboo on 2nd,444,4.5,2212 2nd Ave N,"Sushi Bars, Asian Fusion, Ramen",Alabama
Avondale Common House,302,4.0,4100 3rd Ave S,"American (New), Sandwiches, Cocktail Bars",Alabama
Eugene's,59,4.0,2100 Richard Arrington Jr Blvd N,American (Traditional),Alabama
Eugene's Hot Chicken,412,4.5,2268 9th Ave N,"Food Trucks, Fast Food, Chicken Shop",Alabama
Brick & Tin,143,4.5,214 20th St N,"Sandwiches, American (New), Salad",Alabama
Luna Latin Cuisine,89,4.5,4120 2nd Ave S,Latin American,Alabama
Carrigan’s Beer Garden,268,4.0,2910 6th Ave S,"Beer Gardens, American (New), Pubs",Alabama
Jasmine's Soul Food,5,5.0,134 U St,Soul Food,Alabama
The Flying Biscuit Cafe,331,4.0,3419 Colonnade Pkwy,"Breakfast & Brunch, Southern, Comfort Food",Alabama
Hightower Pub,41,4.5,165 Hightower Rd,"Pubs, Burgers, Sandwiches",Alaska
Oceanfront Cafe,12,4.5,10 Harbor Triangle Rd,"Coffee & Tea, Sandwiches, Seafood",Alaska
Spoonline Bistro,81,5.0,174 Hightower Rd,"Wine Bars, Breakfast & Brunch, Tacos",Alaska
Basecamp,17,5.0,194 Hightower Rd,American (Traditional),Alaska
Birch & Alder,22,4.5,27635 Seward Hwy,"Cafes, Breakfast & Brunch, Bagels",Alaska
Jack Sprat,420,4.0,165 Olympic Mountain Lp,"American (New), Seafood, Beer Bar",Alaska
Creekbend Cafe,17,5.0,19842 Hope Hwy,American (Traditional),Alaska
Wild Catch Cafe,2,5.0,12 Harbor Loop,"Sandwiches, Seafood, Cafes",Alaska
Double Musky Inn,463,4.0,3 Crow Creek Rd,Cajun/Creole,Alaska
Dirty Skillet,30,5.0,19702 Hope Hwy,"American (New), Bars",Alaska
Blue Ristra,21,4.5,2772 Alyeska Hwy,"Food Trucks, New Mexican Cuisine",Alaska
Portage Glacier Lodge,11,4.0,Portage Glacier Lodge,"Restaurants, Guest Houses",Alaska
Brown Bear Saloon & Hotel,28,4.5,Mile 103 Seward Hwy,"Hot Dogs, American (Traditional)",Alaska
Everest Restaurant,98,4.5,3637 Old Seward Hwy,"Halal, Indian, Himalayan/Nepalese",Alaska
Glacier BrewHouse,2640,4.0,737 W 5th Ave,"American (Traditional), Breweries, Seafood",Alaska
Chair 5,317,3.5,171 Lindblad Ave,"American (Traditional), Bars",Alaska
Moose's Tooth,3194,4.5,3300 Old Seward Hwy,"Pizza, American (Traditional), Beer Bar",Alaska
EL Pastor,98,4.5,12300 Old Glenn Hwy,"Breakfast & Brunch, Tacos",Alaska
Seaview Cafe and Bar,39,4.5,Main St,"Seafood, Bars, Music Venues",Alaska
Limeleaf,46,4.0,17051 Mercy Dr,Asian Fusion,Alaska
Snow City Cafe,2379,4.5,1034 W 4th Ave,"Breakfast & Brunch, American (New), Cafes",Alaska
Seven Glaciers Restaurant,270,3.5,1000 Arlberg Ave,American (New),Alaska
The Bake Shop,187,3.5,194 Olympic Mountain Lp,"Bakeries, Breakfast & Brunch, Coffee & Tea",Alaska
Bobby's Cafe & Bakery,54,4.5,20900 Bill Stephens Dr,"Cafes, Bakeries",Alaska
Sakura Asian Bistro,78,3.5,1000 Arlberg Ave,"Seafood, Sushi Bars, Japanese",Alaska
Indian House Restaurant,8,3.5,27655 Seward Hwy,"Bars, Steakhouses, American (Traditional)",Alaska
Inferno Seafood Boil,54,4.5,321 E Dimond Blvd,Seafood,Alaska
49th State Brewing - Anchorage,2088,4.0,717 West 3rd Ave,"Breweries, Steakhouses, Desserts",Alaska
Corks & Hops,49,4.0,12551 Old Glenn Hwy,"Wine Bars, Beer Bar, Pizza",Alaska
Sitzmark Bar & Grill,58,3.5,100 Olympic Mountain Lp,"Bars, American (Traditional)",Alaska
Raven's Perch Restaurant,14,4.0,29979 E Knik River Rd,American (Traditional),Alaska
The Anchor Inn,37,3.5,100 Whittier St,"American (New), Museums, Hotels",Alaska
Sadie Romo’s,7,4.0,"Girdwood , AK 99587","Food Trucks, Mexican",Alaska
Varley's Ice Cream & Pizza Parlor,9,4.0,1 Harbor Rd,"Pizza, Ice Cream & Frozen Yogurt",Alaska
Aurora Bar and Grill,99,3.0,1000 Arlberg Ave,American (New),Alaska
Girdwood Izakaya,6,4.0,2700 Alyeska Hwy,"Food Trucks, Izakaya",Alaska
Whisky & Ramen,134,4.5,436 W 4th Ave,"Ramen, Whiskey Bars",Alaska
CoasT Pizza,80,3.5,Mile 90 Seward Hwy,"Pizza, Breakfast & Brunch, Fast Food",Alaska
BruceSkis,6,4.5,2700 Alyeska Hwy,"Turkish, Food Trucks",Alaska
Oso Loco,6,3.5,365 Gold Ave,"Mexican, Food Stands",Alaska
Preference,28,4.5,360 Boniface Pkwy,"Breakfast & Brunch, Burgers, Sandwiches",Alaska
F Street Station,703,4.0,325 F St,"American (Traditional), Bars",Alaska
Da J3rk Spot,65,4.5,12110 Business Blvd,Caribbean,Alaska
Simon & Seafort's Saloon & Grill,1223,4.0,420 L St,"Seafood, Steakhouses, American (Traditional)",Alaska
Swift Water Seafood Cafe,48,3.0,Harbor Rd,"Seafood, Sandwiches",Alaska
Forte Alaska,15,3.0,1000 Arlberg Ave,Italian,Alaska
Bore Tide Deli and Bar,13,4.0,350 Tram Cir,"Bars, Delis",Alaska
Crepes De Paris,8,3.5,"Anchorage, AK 99587","Creperies, French, Food Trucks",Alaska
Tent City Taphouse,183,4.0,343 W 6th Ave,"American (Traditional), Beer Bar",Alaska
Southside Grill,179,4.5,12870 Old Seward Hwy,"American (Traditional), Diners, Breakfast & Brunch",Alaska
Copperhead Bistro,46,5.0,4727 E Bell Rd,"Pizza, Italian, Desserts",Arizona
Momma’s Soul Fish & Chicken,28,4.5,15414 N 19th Ave,"Soul Food, Chicken Wings, Fish & Chips",Arizona
The Sicilian Butcher,3072,4.5,15530 N Tatum Blvd,"American (Traditional), Italian, Sandwiches",Arizona
Yutaka Japanese Restaurant,796,4.5,751 E Bell Rd,"Ramen, Sushi Bars",Arizona
Carouns Restaurant,159,4.5,18425 N 19th Ave,"Mediterranean, Middle Eastern",Arizona
Chickii,100,5.0,20260 N 59th Ave,"Chicken Shop, Thai",Arizona
Chino Bandido,2283,4.0,310 W Bell Rd,Mexican,Arizona
LOVECRAFT,465,4.5,3128 E Cactus Rd,"Beer Bar, New Mexican Cuisine, Cocktail Bars",Arizona
George & Son's Asian Cuisine,721,4.0,3049 W Agua Fria Fwy,"Asian Fusion, Chinese",Arizona
Fire At Will,101,4.5,4912 E Shea Blvd,"American (New), Burgers",Arizona
Tacos Calafia - North Phoenix,124,4.5,1606 E Bell Rd,Tacos,Arizona
Pappadeaux Seafood Kitchen,2577,4.0,11051 N Black Canyon Hwy,"Seafood, Cajun/Creole",Arizona
My spot Mediterranean Grill,11,5.0,1601 E Bell Rd,"Mediterranean, Salad, Sandwiches",Arizona
Poke Paradise,22,4.5,440 E Bell Rd,"Poke, Seafood, Bubble Tea",Arizona
The Great American Grill,9,4.5,1940 W Pinnacle Peak Rd,American (Traditional),Arizona
Edelweiss Biergarten,510,4.0,2625 E Bell Rd,"German, Hungarian, Brewpubs",Arizona
The Mexicano,1921,4.5,4801 E Cactus Rd,"Tacos, Cocktail Bars",Arizona
Sunshine Breakfast Bar,640,4.5,20811 N Cave Creek Rd,"Breakfast & Brunch, American (Traditional), Sandwiches",Arizona
Lucky's Burgers & Shakes,383,4.5,13849 N 19th Ave,"American (Traditional), Burgers, Fast Food",Arizona
SKNY PIG,14,4.0,4330 W Union Hills Dr,"Asian Fusion, Soup, Thai",Arizona
Original Breakfast House,2545,4.5,13623 N 32nd St,"Breakfast & Brunch, Cafes",Arizona
Naked BBQ,607,4.5,2340 W Bell Rd,"Barbeque, Southern",Arizona
Yi's Chinese Restaurant,256,4.5,1512 W Bell Rd,Chinese,Arizona
Topnotch Island Flavor Kitchen,80,4.5,16816 N Cave Creek Rd,"Caribbean, Tacos",Arizona
Angie’s Lobster,149,4.5,1901 W Pinnacle Peak Rd,"Sandwiches, Coffee & Tea, Breakfast & Brunch",Arizona
Aimee’s Swine House,149,4.5,1609 East Bell Rd,"Breakfast & Brunch, Coffee & Tea",Arizona
Bobby Q,4610,4.5,8501 N 27th Ave,"Barbeque, American (New)",Arizona
Aioli Gourmet Burgers - 7th & Bell,287,4.0,430 E Bell Rd,"Burgers, Salad, Food Trucks",Arizona
Caliente Mexican Grill,27,5.0,1855 W Deer Valley Rd,"Mexican, Desserts, Salad",Arizona
