Name,Reviews,Rating,Address,Cuisine,State
The Battery,87,4.5,2821 Central Ave,Salad,Alabama
Blueprint on 3rd,222,4.5,3000 3rd Ave S,American (Traditional),Alabama
The Essential,336,4.5,2018 Morris Ave,Bars,Alabama
The Southern Kitchen & Bar,507,3.5,2301 Richard Arrington Jr Blvd,Southern,Alabama
The Refinery,81,4.5,728 29th St S,American (Traditional),Alabama
Yo' Mama's,503,4.5,2328 2nd Ave N,Gluten-Free,Alabama
Yo Chef Surf & Turf Smokehouse,26,4.5,2201 4th Pl W,Seafood,Alabama
Whiskey Foxtrot Burger Shoppe,5,4.5,1919 28th Ave S,Burgers,Alabama
Carrigan's - Downtown,588,4.0,2430 Morris Ave,Cocktail Bars,Alabama
Helen,179,4.5,2013 2nd Ave N,Southern,Alabama
Roots & Revelry,316,3.5,1623 2nd Ave N,Bars,Alabama
El Barrio,834,4.5,2211 2nd Ave N,Mexican,Alabama
Southern Caribbean,28,4.5,1116 Lomb Ave,Caribbean,Alabama
Cayo Coco Rum Bar & Restaurante,196,4.5,2015 1st Ave N,Bars,Alabama
Automatic Seafood and Oysters,428,4.5,2824 5th Ave S,Seafood,Alabama
The View,8,4.5,1 Robert S Smith Dr,Bars,Alabama
The Rougaroux,297,4.5,817 39th St S,Cajun/Creole,Alabama
Tasty Town,175,4.5,16 14th St S,Greek,Alabama
Juniper,51,4.5,3811 Clairmont Ave,American (New),Alabama
Lé Fresca,141,4.5,2218 2nd Ave N,Wine Bars,Alabama
The Garage,160,4.5,2304 10th Ter S,Sandwiches,Alabama
Umami Bham,148,4.5,2808 7th Ave S,Sushi Bars,Alabama
Porch,74,4.5,2 Dexter Ave,American (Traditional),Alabama
The Lab Bar and Kitchen,193,4.0,808 20th St S,Restaurants,Alabama
Ruth's Cafe,33,4.0,4012 24th St N,Soul Food,Alabama
EastWest,314,4.5,2306 2nd Ave N,American (New),Alabama
OvenBird,332,4.0,2810 3rd Ave S,Tapas/Small Plates,Alabama
Paramount,415,4.5,200 20th St N,Arcades,Alabama
Bamboo on 2nd,444,4.5,2212 2nd Ave N,Sushi Bars,Alabama
Saw's Soul Kitchen,998,4.5,215 41st St S,Barbeque,Alabama
Jack Brown's Beer & Burger Joint - Birmingham,695,4.5,2811 7th Ave S,Burgers,Alabama
Eugene's,59,4.0,2100 Richard Arrington Jr Blvd N,American (Traditional),Alabama
The Goose,30,4.0,4100 4th Ave S,Salad,Alabama
Harvest Restaurant & Bar,100,4.0,2101 5th Ave N,American (New),Alabama
Brick & Tin,143,4.5,214 20th St N,Sandwiches,Alabama
Niki's West Steak And Seafood Restaurant,324,4.0,233 Finley Ave W,Southern,Alabama
Trattoria Zaza,403,4.5,207A 20th St N,Breakfast & Brunch,Alabama
