Name,Reviews,Rating,Address,Cuisine,State
The Battery,87,4.5,2821 Central Ave,"Salad, Burgers, Sandwiches",Alabama
Blueprint on 3rd,222,4.5,3000 3rd Ave S,American (Traditional),Alabama
The Essential,336,4.5,2018 Morris Ave,"Bars, American (New)",Alabama
The Southern Kitchen & Bar,507,3.5,2301 Richard Arrington Jr Blvd,"Southern, American (New), Bars",Alabama
The Refinery,81,4.5,728 29th St S,"American (Traditional), Sports Bars",Alabama
Yo' Mama's,503,4.5,2328 2nd Ave N,"Gluten-Free, American (Traditional), Breakfast & Brunch",Alabama
Yo Chef Surf & Turf Smokehouse,26,4.5,2201 4th Pl W,"Seafood, Salad, Smokehouse",Alabama
Whiskey Foxtrot Burger Shoppe,5,4.5,1919 28th Ave S,"Burgers, Hot Dogs",Alabama
Carrigan's - Downtown,588,4.0,2430 Morris Ave,"Cocktail Bars, Gastropubs, Pubs",Alabama
Helen,179,4.5,2013 2nd Ave N,"Southern, Bars",Alabama
Roots & Revelry,316,3.5,1623 2nd Ave N,"Bars, American (Traditional), Venues & Event Spaces",Alabama
El Barrio,834,4.5,2211 2nd Ave N,Mexican,Alabama
Southern Caribbean,28,4.5,1116 Lomb Ave,Caribbean,Alabama
Cayo Coco Rum Bar & Restaurante,196,4.5,2015 1st Ave N,"Bars, Cuban, Latin American",Alabama
Automatic Seafood and Oysters,428,4.5,2824 5th Ave S,Seafood,Alabama
The View,8,4.5,1 Robert S Smith Dr,"Bars, American (New), Social Clubs",Alabama
The Rougaroux,297,4.5,817 39th St S,Cajun/Creole,Alabama
Tasty Town,175,4.5,16 14th St S,"Greek, Mediterranean",Alabama
Juniper,51,4.5,3811 Clairmont Ave,"American (New), Cocktail Bars",Alabama
Lé Fresca,141,4.5,2218 2nd Ave N,"Wine Bars, Italian, Pizza",Alabama
The Garage,160,4.5,2304 10th Ter S,"Sandwiches, Dive Bars",Alabama
Umami Bham,148,4.5,2808 7th Ave S,"Sushi Bars, Thai, Cocktail Bars",Alabama
Porch,74,4.5,2 Dexter Ave,"American (Traditional), Breakfast & Brunch",Alabama
The Lab Bar and Kitchen,193,4.0,808 20th St S,Restaurants,Alabama
Ruth's Cafe,33,4.0,4012 24th St N,"Soul Food, Cafes, Breakfast & Brunch",Alabama
EastWest,314,4.5,2306 2nd Ave N,"American (New), Venues & Event Spaces, Pan Asian",Alabama
OvenBird,332,4.0,2810 3rd Ave S,"Tapas/Small Plates, Spanish, Portuguese",Alabama
Paramount,415,4.5,200 20th St N,"Arcades, Sports Bars, American (Traditional)",Alabama
Bamboo on 2nd,444,4.5,2212 2nd Ave N,"Sushi Bars, Asian Fusion, Ramen",Alabama
Saw's Soul Kitchen,998,4.5,215 41st St S,"Barbeque, Seafood, Burgers",Alabama
Jack Brown's Beer & Burger Joint - Birmingham,695,4.5,2811 7th Ave S,"Burgers, Beer Bar, American (Traditional)",Alabama
Eugene's,59,4.0,2100 Richard Arrington Jr Blvd N,American (Traditional),Alabama
The Goose,30,4.0,4100 4th Ave S,"Salad, American (Traditional), Sandwiches",Alabama
Harvest Restaurant & Bar,100,4.0,2101 5th Ave N,"American (New), Breakfast & Brunch, Southern",Alabama
Brick & Tin,143,4.5,214 20th St N,"Sandwiches, American (New), Salad",Alabama
Niki's West Steak And Seafood Restaurant,324,4.0,233 Finley Ave W,"Southern, Seafood, Steakhouses",Alabama
Trattoria Zaza,403,4.5,207A 20th St N,"Breakfast & Brunch, Italian",Alabama
The Fennec,71,3.5,1630 2nd Ave S,"Bars, Venues & Event Spaces, American (Traditional)",Alabama
Frothy Monkey,97,4.0,2320 Second Ave N,"Cafes, Coffee & Tea, Breakfast & Brunch",Alabama
Shu Shop,248,4.0,1820 3rd Ave N,"Bars, Ramen",Alabama
The Six Sixteen Restaurant and Bar,13,4.5,2021 Park Pl,"Cocktail Bars, Wine Bars, Sandwiches",Alabama
Five Bar,393,4.0,744 29th St S,"Bars, American (Traditional)",Alabama
Cousins Maine Lobster - Birmingham,37,4.5,"Birmingham, AL 35205","Food Trucks, Seafood",Alabama
Texas de Brazil - Birmingham,325,4.0,2301 Richard Arrington Jr Blvd N,"Brazilian, Steakhouses, Venues & Event Spaces",Alabama
Iron City Bham,235,4.0,513 22nd St S,"Music Venues, Venues & Event Spaces, American (New)",Alabama
Chez Fonfon,433,4.5,2007 11th Ave S,"French, Bars",Alabama
Condado Tacos,27,4.0,2800 Cahaba Village Pl,"Tacos, Cocktail Bars",Alabama
Gianmarco's Restaurant,572,4.5,721 Broadway St,"Italian, Seafood, Wine Bars",Alabama
SoHo Social,288,4.0,1830 29th Ave S,"Bars, American (New), Seafood",Alabama
Eugene's Hot Chicken,412,4.5,2268 9th Ave N,"Food Trucks, Fast Food, Chicken Shop",Alabama
Spoonline Bistro,81,5.0,174 Hightower Rd,"Wine Bars, Breakfast & Brunch, Tacos",Alaska
Basecamp,19,5.0,194 Hightower Rd,American (Traditional),Alaska
Jack Sprat,422,4.0,165 Olympic Mountain Lp,"American (New), Seafood, Beer Bar",Alaska
Hightower Pub,41,4.5,165 Hightower Rd,"Pubs, Burgers, Sandwiches",Alaska
Double Musky Inn,464,4.0,3 Crow Creek Rd,Cajun/Creole,Alaska
Oceanfront Cafe,11,4.5,10 Harbor Triangle Rd,"Coffee & Tea, Sandwiches, Seafood",Alaska
Dirty Skillet,30,5.0,19702 Hope Hwy,"American (New), Bars",Alaska
Everest Restaurant,99,4.5,3637 Old Seward Hwy,"Halal, Indian, Himalayan/Nepalese",Alaska
Brown Bear Saloon & Hotel,28,4.5,Mile 103 Seward Hwy,"Hot Dogs, American (Traditional)",Alaska
Birch & Alder,22,4.5,27635 Seward Hwy,"Cafes, Breakfast & Brunch, Bagels",Alaska
Glacier BrewHouse,2641,4.0,737 W 5th Ave,"American (Traditional), Breweries, Seafood",Alaska
Sakura Asian Bistro,78,3.5,1000 Arlberg Ave,"Seafood, Sushi Bars, Japanese",Alaska
Chair 5,318,3.5,171 Lindblad Ave,"American (Traditional), Bars",Alaska
Moose's Tooth,3200,4.5,3300 Old Seward Hwy,"Pizza, American (Traditional), Beer Bar",Alaska
Limeleaf,46,4.0,17051 Mercy Dr,Asian Fusion,Alaska
Creekbend Cafe,17,5.0,19842 Hope Hwy,American (Traditional),Alaska
Wild Catch Cafe,2,5.0,12 Harbor Loop,"Sandwiches, Seafood, Cafes",Alaska
Portage Glacier Lodge,11,4.0,Portage Glacier Lodge,"Restaurants, Guest Houses",Alaska
Seven Glaciers Restaurant,270,3.5,1000 Arlberg Ave,American (New),Alaska
EL Pastor,100,4.5,12300 Old Glenn Hwy,"Breakfast & Brunch, Tacos",Alaska
Blue Ristra,21,4.5,2772 Alyeska Hwy,"Food Trucks, New Mexican Cuisine",Alaska
Whisky & Ramen,135,4.5,436 W 4th Ave,"Ramen, Whiskey Bars",Alaska
Seaview Cafe and Bar,39,4.5,Main St,"Seafood, Bars, Music Venues",Alaska
49th State Brewing - Anchorage,2097,4.0,717 West 3rd Ave,"Breweries, Steakhouses, Desserts",Alaska
Oso Loco,6,3.5,365 Gold Ave,"Mexican, Food Stands",Alaska
Corks & Hops,49,4.0,12551 Old Glenn Hwy,"Wine Bars, Beer Bar, Pizza",Alaska
Inferno Seafood Boil,54,4.5,321 E Dimond Blvd,Seafood,Alaska
Raven's Perch Restaurant,14,4.0,29979 E Knik River Rd,American (Traditional),Alaska
Sitzmark Bar & Grill,58,3.5,100 Olympic Mountain Lp,"Bars, American (Traditional)",Alaska
The Anchor Inn,37,3.5,100 Whittier St,"American (New), Museums, Hotels",Alaska
Varley's Ice Cream & Pizza Parlor,9,4.0,1 Harbor Rd,"Pizza, Ice Cream & Frozen Yogurt",Alaska
Bella Vista Restaurant,37,4.0,20908 Bill Stephens Dr,Pizza,Alaska
Sadie Romo’s,7,4.0,"Girdwood , AK 99587","Food Trucks, Mexican",Alaska
Aurora Bar and Grill,99,3.0,1000 Arlberg Ave,American (New),Alaska
Girdwood Izakaya,6,4.0,2700 Alyeska Hwy,"Food Trucks, Izakaya",Alaska
Simon & Seafort's Saloon & Grill,1224,4.0,420 L St,"Seafood, Steakhouses, American (Traditional)",Alaska
Snow City Cafe,2384,4.5,1034 W 4th Ave,"Breakfast & Brunch, American (New), Cafes",Alaska
Indian House Restaurant,8,3.5,27655 Seward Hwy,"Bars, Steakhouses, American (Traditional)",Alaska
Swift Water Seafood Cafe,48,3.0,Harbor Rd,"Seafood, Sandwiches",Alaska
Pel Meni Dumplings,57,4.5,434 K St,Russian,Alaska
The Bake Shop,188,3.5,194 Olympic Mountain Lp,"Bakeries, Breakfast & Brunch, Coffee & Tea",Alaska
CoasT Pizza,80,3.5,Mile 90 Seward Hwy,"Pizza, Breakfast & Brunch, Fast Food",Alaska
BruceSkis,6,4.5,2700 Alyeska Hwy,"Turkish, Food Trucks",Alaska
F Street Station,703,4.0,325 F St,"American (Traditional), Bars",Alaska
Da J3rk Spot,65,4.5,12110 Business Blvd,Caribbean,Alaska
Forte Alaska,15,3.0,1000 Arlberg Ave,Italian,Alaska
Meraki Hellenic Grill,100,4.5,12870 Old Seward Hwy,Greek,Alaska
Bore Tide Deli and Bar,13,4.0,350 Tram Cir,"Bars, Delis",Alaska
Crepes De Paris,8,3.5,"Anchorage, AK 99587","Creperies, French, Food Trucks",Alaska
The Hott Spot,106,4.5,6311 Debarr Rd,"Seafood, Hot Pot, Asian Fusion",Alaska
Carouns Restaurant,159,4.5,18425 N 19th Ave,"Mediterranean, Middle Eastern",Arizona
The Sicilian Butcher,3070,4.5,15530 N Tatum Blvd,"American (Traditional), Italian, Sandwiches",Arizona
Copperhead Bistro,48,5.0,4727 E Bell Rd,"Pizza, Italian, Desserts",Arizona
Momma’s Soul Fish & Chicken,29,4.5,15414 N 19th Ave,"Soul Food, Chicken Wings, Fish & Chips",Arizona
Yutaka Japanese Restaurant,798,4.5,751 E Bell Rd,"Ramen, Sushi Bars",Arizona
Fire At Will,101,4.5,4912 E Shea Blvd,"American (New), Burgers",Arizona
LOVECRAFT,466,4.5,3128 E Cactus Rd,"Beer Bar, New Mexican Cuisine, Cocktail Bars",Arizona
The Great American Grill,9,4.5,1940 W Pinnacle Peak Rd,American (Traditional),Arizona
Chickii,101,5.0,20260 N 59th Ave,"Chicken Shop, Thai",Arizona
Lucky's Burgers & Shakes,382,4.5,13849 N 19th Ave,"American (Traditional), Burgers, Fast Food",Arizona
Chino Bandido,2283,4.0,310 W Bell Rd,Mexican,Arizona
Naked BBQ,607,4.5,2340 W Bell Rd,"Barbeque, Southern",Arizona
Pappadeaux Seafood Kitchen,2578,4.0,11051 N Black Canyon Hwy,"Seafood, Cajun/Creole",Arizona
The Mexicano,1925,4.5,4801 E Cactus Rd,"Tacos, Cocktail Bars",Arizona
Caliente Mexican Grill,27,5.0,1855 W Deer Valley Rd,"Mexican, Desserts, Salad",Arizona
George & Son's Asian Cuisine,721,4.0,3049 W Agua Fria Fwy,"Asian Fusion, Chinese",Arizona
Banh Mi Bistro Vietnamese Eatery,667,4.5,2340 W Bell Rd,"Vietnamese, Noodles, Sandwiches",Arizona
Cornish Pasty,92,4.0,18725 N 32nd St,"Pubs, Gastropubs, British",Arizona
SKNY PIG,14,4.0,4330 W Union Hills Dr,"Asian Fusion, Soup, Thai",Arizona
Bobby Q,4613,4.5,8501 N 27th Ave,"Barbeque, American (New)",Arizona
Different Pointe of View,863,4.0,11111 N 7th St,"American (New), Lounges",Arizona
Edelweiss Biergarten,511,4.0,2625 E Bell Rd,"German, Hungarian, Brewpubs",Arizona
Poke Paradise,22,4.5,440 E Bell Rd,"Poke, Seafood, Bubble Tea",Arizona
Sunshine Breakfast Bar,641,4.5,20811 N Cave Creek Rd,"Breakfast & Brunch, American (Traditional), Sandwiches",Arizona
Angie’s Lobster,184,4.0,4332 W Thunderbird Rd,"Fish & Chips, Seafood, Food Trucks",Arizona
Joe's Tacos,5,5.0,245 E Bell Rd St,Tacos,Arizona
The Stillery,185,3.5,2501 W Happy Valley Rd,"Music Venues, Bars, American (New)",Arizona
Original Breakfast House,2546,4.5,13623 N 32nd St,"Breakfast & Brunch, Cafes",Arizona
Tasty Pot,101,4.5,6645 W Bell Rd,Hot Pot,Arizona
Santisi Brothers,680,4.0,2710 W Bell Rd,"Pizza, Sports Bars, Karaoke",Arizona
